city,date,pm2.5,pm10,no2,so2,co,o3,aqi,aqi_category
Delhi,01-01-2015,99.86856612,147.1032801,49.71532807,19.61514928,0.729753988,46.48794565,103,Moderate
Delhi,02-01-2015,143.1685126,208.5172072,32.95788421,14.71280022,0.660974692,43.0140537,141,Moderate
Delhi,03-01-2015,89.67849086,101.412886,14.12623251,9.188562354,0.496150664,54.71370999,82,Satisfactory
Delhi,04-01-2015,43.67903698,65.43296295,61.98473153,10.8711185,0.820258461,28.62877721,50,Good
Delhi,05-01-2015,58.22469102,110.4431428,22.73509634,13.87849009,0.619808393,45.62459375,69,Satisfactory
Delhi,06-01-2015,55.93173551,142.9772992,39.79754163,6.711445355,1.046763474,31.68734525,78,Satisfactory
Delhi,07-01-2015,88.3545438,99.16114132,20.07720927,12.98430618,1.021539974,52.57052422,81,Satisfactory
Delhi,08-01-2015,75.3740687,119.3519948,17.82217014,8.400778958,0.661808369,65.85683339,81,Satisfactory
Delhi,09-01-2015,93.74473158,108.4839285,44.86125954,10.0745886,0.5969234,59.17514433,89,Satisfactory
Delhi,10-01-2015,121.2399809,189.8655833,27.41173715,10.45393812,0.899379029,64.63317691,126,Moderate
Delhi,11-01-2015,60.83303049,107.119851,23.40497539,6.01896688,1.043757747,70.34360043,71,Satisfactory
Delhi,12-01-2015,77.11959514,147.1902531,45.42454038,8.774401227,0.908418682,73.0705485,94,Satisfactory
Delhi,13-01-2015,78.56695844,159.8598316,5,16.10951252,0.82611412,45.51488974,92,Satisfactory
Delhi,14-01-2015,83.67043106,93.91905277,36.70492168,13.78556286,1.243368213,42.22594673,77,Satisfactory
Delhi,15-01-2015,47.66025588,87.62511501,53.73103177,13.64375555,0.641071939,57.6990115,61,Satisfactory
Delhi,16-01-2015,83.88310197,153.2560018,29.46920359,10.36168927,0.682367554,28.04727578,93,Satisfactory
Delhi,17-01-2015,91.84481108,147.0659165,40.07670185,10.82706433,0.375388777,43.69032016,98,Satisfactory
